cmo,classification,method,rule_id,records,population
1205,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1512,664,166429
2121,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1536,636,183740
6150,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1652,128,43527
4120,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1562,506,123190
1230,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1516,226,57892
6101,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1647,440,93003
2125,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1539,427,98368
2123,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1537,96,31195
6232,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1663,150,39167
1104,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1495,318,89773
1221,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1515,130,31305
6110,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1649,353,97836
1390,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1527,152,30543
7201,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1674,1551,411499
1250,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1517,421,98103
6100,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1646,220,44470
4109,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1555,163,34923
4120,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1563,207,47014
5380,egp3_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_1631,126,48291
5246,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0338,435,126487
8100,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0445,3505,985462
1105,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0230,657,186122
6270,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0430,3574,824847
5400,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0382,1479,390004
2127,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0283,455,111666
5100,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0300,209,65204
5141,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0308,589,162091
6130,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0408,134,45536
2124,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0281,456,127106
8150,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0464,340,98871
6230,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0423,735,201084
1423,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0271,482,152065
1205,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0249,664,166429
2121,baja_damian,consenso_clasificaciones_panel,CONSENSO_PANEL_0278,636,183740
