classification,split,cmo,old_value,new_value,n,population
grupo_ocu9_damian,validation,5306,8,9,4,694
grupo_ocu9_damian,validation,8200,5,5,41,13491
grupo_ocu9_damian,validation,5481,9,3,1,102
grupo_ocu9_damian,validation,6232,3,4,2,219
grupo_ocu9_damian,validation,1151,2,2,16,3982
grupo_ocu9_damian,validation,4103,6,9,75,34491
grupo_ocu9_damian,validation,4108,6,6,41,15636
grupo_ocu9_damian,validation,5121,8,3,1,78
grupo_ocu9_damian,validation,8151,5,5,43,7229
grupo_ocu9_damian,validation,4101,6,6,23,7515
grupo_ocu9_damian,train,5246,2,2,67,20780
grupo_ocu9_damian,train,1220,2,5,4,969
grupo_ocu9_damian,train,8124,9,5,29,6776
grupo_ocu9_damian,train,5121,8,8,22,4042
grupo_ocu9_damian,train,4106,6,6,107,22478
grupo_ocu9_damian,train,5481,9,8,13,3785
grupo_ocu9_damian,train,5224,7,7,19,4074
grupo_ocu9_damian,train,5251,7,7,26,7996
grupo_ocu9_damian,train,5400,9,7,24,6494
grupo_ocu9_damian,train,8312,1,5,45,9713
grupo_ocu9_damian,train,5352,8,8,3,456
grupo_ocu9_damian,train,1340,2,2,137,33274
grupo_ocu9_damian,train,5324,8,8,7,1059
grupo_ocu9_damian,train,5521,8,8,203,65835
grupo_ocu9_damian,train,5383,8,9,16,4725
grupo_ocu9_damian,train,5302,8,7,6,861
grupo_ocu9_damian,validation,4110,6,9,32,8606
grupo_ocu9_damian,validation,4110,6,6,77,21107
grupo_ocu9_damian,validation,8101,5,5,134,31009
grupo_ocu9_damian,validation,5290,7,7,18,4559
grupo_ocu9_damian,validation,6270,3,1,58,14285
grupo_ocu9_damian,validation,1363,2,2,33,3995
grupo_ocu9_damian,validation,1105,2,3,12,2216
grupo_ocu9_damian,validation,5310,8,9,1,56
grupo_ocu9_damian,validation,5501,8,9,3,188
grupo_ocu9_damian,validation,5181,7,8,6,1490
grupo_ocu9_damian,train,5322,8,9,9,1396
grupo_ocu9_damian,train,5420,9,8,19,3470
grupo_ocu9_damian,train,4106,6,9,72,26670
grupo_ocu9_damian,train,8120,5,9,6,1637
grupo_ocu9_damian,train,4110,6,6,127,36837
grupo_ocu9_damian,train,5450,9,7,8,2357
grupo_ocu9_damian,train,4103,6,6,97,23282
grupo_ocu9_damian,validation,4100,6,9,517,242889
grupo_ocu9_damian,validation,5271,2,2,29,8061
grupo_ocu9_damian,validation,1241,2,2,1,75
grupo_ocu9_damian,validation,5202,7,7,203,64343
grupo_ocu9_damian,validation,5280,7,2,3,272
grupo_ocu9_damian,validation,5460,9,9,357,110484
grupo_ocu9_damian,validation,8204,5,5,6,1582
grupo_ocu9_damian,validation,5131,8,8,7,1950
grupo_ocu9_damian,validation,4112,6,2,1,73
grupo_ocu9_damian,validation,5260,7,9,48,18806
grupo_ocu9_damian,validation,5460,9,8,3,2835
grupo_ocu9_damian,validation,5161,7,7,24,5983
grupo_ocu9_damian,train,5421,9,8,8,1798
grupo_ocu9_damian,train,4111,6,6,18,5167
