p3coe,origen,registros,poblacion,discrepancias
1361,puente_general,30,9783,0
5269,puente_general,40,9691,0
7132,puente_general,25,9672,0
1167,puente_general,37,9609,0
1241,puente_general,35,9565,0
5381,puente_general,32,9392,0
4130,puente_general,29,9360,0
2124,puente_general,45,9258,0
5491,puente_general,32,9092,0
5351,puente_general,32,9067,0
6132,puente_general,30,8620,0
5211,puente_general,33,8423,0
1180,puente_general,41,8366,0
2132,puente_general,38,8262,0
1140,puente_general,35,8227,0
5370,puente_general,38,8176,0
2120,puente_general,44,7723,0
5265,puente_general,18,7548,0
1166,puente_general,26,7412,0
4102,puente_general,36,7334,0
7209,puente_general,28,7194,0
1133,puente_general,17,7172,0
1223,puente_general,22,7022,0
5309,puente_general,20,6746,0
5311,puente_general,27,6735,0
5263,puente_general,30,6712,0
1440,puente_general,28,6583,0
1400,puente_general,9,6297,0
1354,puente_general,39,6272,0
1170,puente_general,10,6180,0
5301,puente_general,25,6174,0
8102,puente_general,6,6126,0
5307,puente_general,17,5838,0
5341,puente_general,22,5628,0
5530,puente_general,21,5558,0
5360,puente_general,19,5334,0
4116,puente_general,25,5256,0
1290,puente_general,31,5070,0
1331,puente_general,19,4995,0
2121,puente_general,13,4983,0
4161,puente_general,15,4869,0
4105,puente_general,37,4724,0
6120,puente_general,31,4650,0
4131,puente_general,8,4568,0
5510,puente_general,17,4501,0
4133,puente_general,14,4439,0
5543,puente_general,17,4414,0
5540,puente_general,22,4388,0
5511,puente_general,7,4214,0
1350,puente_general,15,4193,0
1102,puente_general,22,4136,0
1430,puente_general,18,4118,0
1111,puente_general,7,4012,0
2130,puente_general,31,3993,0
1141,puente_general,14,3904,0
1359,puente_general,14,3733,0
5220,puente_general,13,3706,0
1352,puente_general,15,3705,0
5303,puente_general,19,3638,0
2123,puente_general,9,3262,0
2125,puente_general,5,3174,0
1414,puente_general,16,3109,0
2127,puente_general,12,3100,0
1162,puente_general,6,3087,0
5529,puente_general,10,2947,0
5312,puente_general,4,2777,0
5110,puente_general,11,2744,0
1461,puente_general,20,2713,0
5229,puente_general,16,2694,0
5411,puente_general,13,2675,0
8304,puente_general,15,2606,0
6201,puente_general,12,2524,0
5207,puente_general,6,2478,0
5226,puente_general,17,2333,0
1163,puente_general,12,2284,0
1175,puente_general,4,2176,0
8302,puente_general,11,2122,0
1422,puente_general,8,2089,0
5150,puente_general,8,2007,0
5209,puente_general,14,1895,0
6180,puente_general,1,1718,0
5253,puente_general,12,1682,0
1413,puente_general,8,1560,0
2129,puente_general,6,1543,0
1421,puente_general,8,1510,0
6241,puente_general,4,1487,0
1202,puente_general,12,1451,0
1168,puente_general,3,1419,0
1231,puente_general,4,1370,0
1232,puente_general,7,1235,0
5329,puente_general,5,1231,0
8152,puente_general,3,1219,0
6160,puente_general,3,1215,0
5234,puente_general,8,1193,0
1174,puente_general,3,1169,0
7290,puente_general,1,1167,0
8121,puente_general,3,1152,0
5228,puente_general,8,1139,0
1152,puente_general,7,1044,0
1211,puente_general,8,1026,0
1332,puente_general,2,1010,0
5541,puente_general,3,877,0
7190,puente_general,4,873,0
5389,puente_general,1,630,0
1190,puente_general,4,590,0
5542,puente_general,2,571,0
2131,puente_general,3,514,0
2190,puente_general,3,457,0
5205,puente_general,2,450,0
1110,puente_general,4,448,0
1243,puente_general,6,447,0
1165,puente_general,3,381,0
1109,puente_general,2,376,0
1353,puente_general,4,371,0
5129,puente_general,1,371,0
8319,puente_general,3,353,0
1229,puente_general,3,304,0
1410,puente_general,3,286,0
5239,puente_general,2,233,0
8139,puente_general,2,222,0
1210,puente_general,2,218,0
5549,puente_general,3,207,0
5100,puente_general,1,197,0
2139,puente_general,1,190,0
5349,puente_general,1,164,0
6150,puente_general,1,135,0
1169,puente_general,1,128,0
5170,puente_general,1,127,0
1209,puente_general,1,121,0
8100,puente_general,2,95,0
1351,puente_general,1,93,0
1239,puente_general,1,58,0
4151,puente_general,1,53,0
5141,puente_general,1,42,0
6270,solo_puente_propio_Damian,3574,824847,0
7201,solo_puente_propio_Damian,1551,411499,0
6230,solo_puente_propio_Damian,735,201084,0
4120,solo_puente_propio_Damian,713,170204,0
1205,solo_puente_propio_Damian,664,166429,0
5141,solo_puente_propio_Damian,589,162091,0
1204,solo_puente_propio_Damian,581,153339,0
7121,solo_puente_propio_Damian,441,117122,0
8150,solo_puente_propio_Damian,340,98871,0
1250,solo_puente_propio_Damian,421,98103,0
6101,solo_puente_propio_Damian,402,79900,0
6110,solo_puente_propio_Damian,286,79047,0
5100,solo_puente_propio_Damian,209,65204,0
1230,solo_puente_propio_Damian,226,57892,0
6121,solo_puente_propio_Damian,148,52344,0
6180,solo_puente_propio_Damian,180,49985,0
5380,solo_puente_propio_Damian,124,47935,0
2121,solo_puente_propio_Damian,215,46563,0
4109,solo_puente_propio_Damian,187,43443,0
6100,solo_puente_propio_Damian,197,40424,0
6130,solo_puente_propio_Damian,117,38695,0
4134,solo_puente_propio_Damian,76,21151,0
4119,solo_puente_propio_Damian,65,18905,0
5170,solo_puente_propio_Damian,62,17410,0
4151,solo_puente_propio_Damian,29,10491,0
8311,solo_puente_propio_Damian,50,8655,0
2126,solo_puente_propio_Damian,25,4548,0
2125,solo_puente_propio_Damian,22,4496,0
4170,solo_puente_propio_Damian,8,2653,0
4139,solo_puente_propio_Damian,1,403,0
8310,solo_puente_propio_Damian,3,292,0
