cmo,cmo_label,official_n_destinations,destinations_4d,labels_sinco,n_values_3d,consensus_3d,n_values_2d,consensus_2d,n_values_1d,consensus_1d,all_have_isco88,n_values_isco88,consensus_isco88,n_values_supervision,consensus_supervision,records,population
1361,Profesores e instructores en estudios comerciales y administrativos,1,2713,Instructores en estudios y capacitación comercial y administrativa,1,271,1,27,1,2,TRUE,1,2359,1,0,30,9783
5269,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,7113,Dinamiteros y buzos en perforación de pozos y en la construcción,1,711,1,71,1,7,TRUE,1,7112,1,0,40,9691
7132,"Agentes de acciones, bonos y valores",1,2513,Tramitadores aduanales,1,251,1,25,1,2,TRUE,1,3422,1,0,25,9672
1167,Profesionistas en ciencias de la comunicación,1,2112,"Especialistas y consultores en mercadotecnia, publicidad, comunicación y comercio exterior",1,211,1,21,1,2,TRUE,1,2419,1,0,37,9609
1241,Técnicos en veterinaria y zootecnia,1,2614,"Auxiliares y técnicos en veterinaria, pesca y forestación",1,261,1,26,1,2,TRUE,1,3227,1,0,35,9565
5381,Operadores de máquinas y equipos para la refinación de petróleo y gas,1,8135,Operadores de máquinas y equipos para la refinación del petróleo y gas,1,813,1,81,1,8,TRUE,1,8155,1,0,32,9392
4130,"Taladores, trozadores, cortadores de árboles y similares",1,6221,"Taladores, trocadores, cortadores de árboles y similares",1,622,1,62,1,6,TRUE,1,6153,1,0,29,9360
5491,"Otros cargadores, abastecedores, empacadores manuales y similares no clasificados anteriormente",1,9239,"Trabajadores de apoyo en la industria, no clasificados anteriormente",1,923,1,92,1,9,TRUE,1,9322,1,0,32,9092
5351,"Operadores de máquinas en la fabricación de productos de mosaico, azulejo y similares",1,8172,"Operadores de máquinas en la elaboración de productos de cerámica, mosaico, azulejo y similares",1,817,1,81,1,8,TRUE,1,8212,1,0,32,9067
8311,Trabajadores de la fuerza armada marítima,2,5401|5412,Supervisores de las fuerzas armadas || Trabajadores de la fuerza armada marítima,2,NA,1,54,1,5,TRUE,1,5169,2,NA,50,8655
6132,"Jefes de departamento, coordinadores y supervisores en investigaciones sociales (historia, sociología, sicología, trabajo social, etcétera)",1,1522,Coordinadores y jefes de área en desarrollo social y económico,1,152,1,15,1,1,TRUE,1,1319,1,0,30,8620
5211,"Trabajadores en la extracción de cantera, arcilla, arena, piedra y grava",1,7112,"Trabajadores en la extracción de cantera, arcilla, arena, piedra y grava",1,711,1,71,1,7,TRUE,1,7111,1,0,33,8423
1180,Religiosos profesionistas,1,2145,"Sacerdotes, pastores y otros teólogos",1,214,1,21,1,2,TRUE,1,2460,1,0,41,8366
2132,Directivos de organizaciones sindicales,1,1132,Directores de organizaciones sindicales,1,113,1,11,1,1,TRUE,1,1142,1,0,38,8262
1140,Biólogos,1,2221,Biólogos y especialistas en ciencias del mar y oceanógrafos,1,222,1,22,1,2,TRUE,1,2211,1,0,35,8227
5370,Operadores de instalaciones y plantas en la generación y distribución de energía,1,8181,Operadores de máquinas e instalaciones para la generación de energía,1,818,1,81,1,8,TRUE,1,8161,1,0,38,8176
4160,Trabajadores en actividades de beneficio de productos agropecuarios,2,6117|6128,Trabajadores en actividades de beneficio de productos agrícolas || Trabajadores en actividades de beneficio de productos pecuarios,2,NA,1,61,1,6,TRUE,2,NA,1,0,50,8027
5410,"Ayudantes, peones y similares en la extracción en minas, canteras y pozos",2,9211|9212,Trabajadores de apoyo en la minería || Trabajadores de apoyo en la extracción,1,921,1,92,1,9,TRUE,1,9311,1,0,48,7842
2120,"Directores, gerentes y administradores de área o establecimientos en servicios de salud",1,1221,"Directores y gerentes en servicios de salud, protección civil y medio ambiente",1,122,1,12,1,1,TRUE,1,1229,1,0,44,7723
5265,Instaladores de aislantes y climas artificiales,1,2638,"Mecánicos en instalación, mantenimiento y reparación de equipos de refrigeración, climas y aire acondicionado.",1,263,1,26,1,2,TRUE,1,7241,1,0,18,7548
1166,Pedagogos,1,2312,"Pedagogos, orientadores educativos y otros especialistas en ciencias educativas",1,231,1,23,1,2,TRUE,1,2351,1,0,26,7412
4102,Trabajadores en el cultivo de algodón y/o henequén,1,6116,Trabajadores en otros cultivos agrícolas,1,611,1,61,1,6,TRUE,1,6111,1,0,36,7334
7209,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,9512,Vendedores ambulantes de artículos diversos (excluyendo los de venta de alimentos),1,951,1,95,1,9,TRUE,1,9112,1,0,28,7194
1133,Profesionistas en optometría,1,2422,Optometristas,1,242,1,24,1,2,TRUE,1,3224,1,0,17,7172
1223,Técnicos nutriólogos y dietistas,1,2816,Técnicos dietistas y nutriólogos,1,281,1,28,1,2,TRUE,1,3223,1,0,22,7022
5309,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,8199,"Otros operadores de instalaciones y maquinaria fija industrial, no clasificados anteriormente",1,819,1,81,1,8,TRUE,1,8172,1,0,20,6746
5311,Operadores de máquinas y equipos para la extracción de pozos petroleros,1,8112,Operadores de máquinas y equipos para la extracción en pozos petroleros,1,811,1,81,1,8,TRUE,1,8153,1,0,27,6735
5263,"Techadores (colocadores de palapas, etcétera)",1,7122,"Techadores (colocadores de palapas, etcétera)",1,712,1,71,1,7,TRUE,1,7131,1,0,30,6712
1440,Deportistas,1,2561,Deportistas,1,256,1,25,1,2,TRUE,1,3475,1,0,28,6583
1400,Escritores y críticos,1,2151,Escritores y críticos literarios,1,215,1,21,1,2,TRUE,1,2451,1,0,9,6297
1354,Profesores de personas con problemas de aprendizaje,1,2342,Profesores de personas con problemas de aprendizaje,1,234,1,23,1,2,TRUE,1,2340,1,0,39,6272
1170,Economistas,1,2123,"Economistas, consultores e investigadores en política económica",1,212,1,21,1,2,TRUE,1,2441,1,0,10,6180
5301,Operadores de máquinas en la fabricación de leche y lácteos,1,8161,"Operadores de máquinas en la elaboración de alimentos, aceites, grasas, sal y especias",1,816,1,81,1,8,TRUE,1,8273,1,0,25,6174
8102,Azafatas y sobrecargos,1,5231,Azafatas y sobrecargos,1,523,1,52,1,5,TRUE,1,3143,1,0,6,6126
5307,"Operadores de máquinas en la fabricación de aceite, grasas, sal y especias",1,8161,"Operadores de máquinas en la elaboración de alimentos, aceites, grasas, sal y especias",1,816,1,81,1,8,TRUE,1,8273,1,0,17,5838
5341,Operadores de máquinas trefiladoras y estiradoras de metales,1,8122,"Operadores de máquinas pulidoras, galvanizadoras y recubridoras de metal",1,812,1,81,1,8,TRUE,1,8123,1,0,22,5628
5530,Conductores de transporte aéreo,1,8311,Pilotos de aviación,1,831,1,83,1,8,TRUE,1,3143,1,0,21,5558
5360,"Operadores de equipo portátil especializado para la construcción (perforadora, barrenadora, compresora, etcétera)",1,8114,Operadores de equipos portátiles especializados para la construcción,1,811,1,81,1,8,TRUE,1,8333,1,0,19,5334
4116,"Trabajadores en la cría de animales para ornato, espectáculos y laboratorio",1,6127,Trabajadores en la cría y cuidado de otro tipo de animales,1,612,1,61,1,6,TRUE,1,6129,1,0,25,5256
1290,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,2992,Otros técnicos no clasificados anteriormente,1,299,1,29,1,2,TRUE,1,3439,1,0,31,5070
5249,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,2639,"Otras ocupaciones de mecánicos y técnicos en el mantenimiento y reparación de equipos mecánicos, vehículos de motor e instrumentos industriales, no clasificados anteriormente",1,263,1,26,1,2,TRUE,1,7241,1,0,17,5042
5249,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,7214,Montadores de estructuras metálicas,1,721,1,72,1,7,TRUE,1,7214,1,0,17,5042
1331,Alfabetizadores,1,2333,Alfabetizadores,1,233,1,23,1,2,TRUE,1,2320,1,0,19,4995
4161,Trabajadores en actividades de beneficio de productos pesqueros,1,6213,Trabajadores en actividades de beneficio de productos pesqueros o acuícolas,1,621,1,62,1,6,TRUE,1,7411,1,0,15,4869
4105,Trabajadores en el cultivo de tabaco,1,6113,"Trabajadores en el cultivo de café, cacao y tabaco",1,611,1,61,1,6,TRUE,1,6112,1,0,37,4724
6120,"Jefes de departamento, coordinadores y supervisores en comunicaciones",1,1622,Coordinadores y jefes de área en comunicación y telecomunicaciones,1,162,1,16,1,1,TRUE,1,1316,1,0,31,4650
4131,"Caucheros, chicleros, resineros y similares",1,6222,"Caucheros, chicleros, resineros y similares",1,622,1,62,1,6,TRUE,1,6141,1,0,8,4568
2100,Altas autoridades gubernamentales y legislativas,2,1111|1112,Altas autoridades gubernamentales y jurisdiccionales || Legisladores,1,111,1,11,1,1,TRUE,1,1110,1,0,22,4550
2126,"Directores, gerentes y administradores de área o establecimientos en servicios asistenciales y de readaptación social",3,1222|1225|1226,Directores y gerentes en desarrollo social y económico || Comandantes de las fuerzas armadas || Directores en servicios de vigilancia y seguridad,1,122,1,12,1,1,FALSE,2,NA,1,0,25,4548
5510,"Conductores de transporte en vías férreas (tren, metro y tren ligero)",1,8331,"Conductores de transporte en vías férreas (tren, metro y tren ligero)",1,833,1,83,1,8,TRUE,1,8311,1,0,17,4501
4133,"Trabajadores en actividades de plantación, reforestación y conservación de bosques",1,6224,"Trabajadores en actividades de plantación, reforestación y conservación de bosques",1,622,1,62,1,6,TRUE,1,6112,1,0,14,4439
5543,"Lancheros, boteros y barqueros",1,8324,"Conductores de pequeñas embarcaciones (lanchas, botes, trajineras, etcétera)",1,832,1,83,1,8,TRUE,1,8311,1,0,17,4414
5540,Conductores de transporte marítimo,1,8321,Capitanes y conductores de transporte marítimo,1,832,1,83,1,8,TRUE,1,3142,1,0,22,4388
5511,Ayudantes de conductores de transporte en vías férreas,1,9312,Ayudantes de conductores de transporte en vías férreas,1,931,1,93,1,9,TRUE,1,8312,1,0,7,4214
1350,Profesores de discapacitados mentales,1,2343,Otros profesores de enseñanza especial,1,234,1,23,1,2,TRUE,1,2340,1,0,15,4193
1102,"Ingenieros en minas, metalurgia y petróleo",1,2254,"Ingenieros en minas, metalurgia y petróleo",1,225,1,22,1,2,TRUE,1,2147,1,0,22,4136
1430,Directores de producciones artísticas,1,1421,"Directores y productores artísticos de cine, teatro y afines",1,142,1,14,1,1,TRUE,1,1229,1,0,18,4118
1111,"Matemáticos, estadísticos y actuarios",1,2212,"Investigadores y especialistas en matemáticas, estadística y actuaría",1,221,1,22,1,2,TRUE,1,2111,1,0,7,4012
2130,Directivos de partidos políticos,1,1131,Directores de organizaciones políticas,1,113,1,11,1,1,FALSE,0,NA,1,0,31,3993
1141,Ecólogos y profesionistas en ciencias atmosféricas,1,2223,Ecólogos y especialistas en ciencias atmosféricas,1,222,1,22,1,2,TRUE,1,2211,1,0,14,3904
2133,"Directivos de organizaciones humanitarias, religiosas, asociaciones civiles y ejidales",2,1134|1135,Directores de organizaciones agrarias || Directores de organizaciones civiles y religiosas,1,113,1,11,1,1,TRUE,2,NA,1,0,18,3798
1359,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,2343,Otros profesores de enseñanza especial,1,234,1,23,1,2,TRUE,1,2340,1,0,14,3733
5220,Preparadores de fibras e hilanderos,1,7331,Trabajadores en la preparación de fibras e hilados,1,733,1,73,1,7,TRUE,1,7423,1,0,13,3706
1352,Profesores de personas con problemas de audición y lenguaje,1,2341,Profesores de personas con problemas de audición y lenguaje,1,234,1,23,1,2,TRUE,1,2340,1,0,15,3705
5303,Operadores de máquinas en la preparación de frutas y legumbres,1,8161,"Operadores de máquinas en la elaboración de alimentos, aceites, grasas, sal y especias",1,816,1,81,1,8,TRUE,1,8273,1,0,19,3638
5551,"Conductores de transporte de tracción animal (carretas, arrieros)",1,9322,"Conductores de transporte de tracción animal (carretas, arrieros, etcétera)",1,932,1,93,1,9,FALSE,0,NA,1,0,6,3374
1414,Bailarines,1,2174,Bailarines y coreógrafos,1,217,1,21,1,2,TRUE,1,2454,1,0,16,3109
1162,Profesionistas en ciencias políticas y administración pública,1,2133,Investigadores y especialistas en ciencias políticas y administración pública,1,213,1,21,1,2,TRUE,1,2443,1,0,6,3087
5529,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,8349,"Otros conductores de transporte terrestre con motor, no clasificados anteriormente",1,834,1,83,1,8,TRUE,1,8321,1,0,10,2947
5312,Operadores de máquinas y equipos para la obtención de agua,1,8113,"Operadores de máquinas y equipos para la captación, bombeo y distribución de agua",1,811,1,81,1,8,TRUE,1,8163,1,0,4,2777
5110,"Jefes, coordinadores y similares en la extracción en minas, canteras y pozos",1,1612,"Coordinadores y jefes de área en producción minera, petrolera y gas",1,161,1,16,1,1,TRUE,1,1311,1,0,11,2744
1461,"Magos, payasos, malabaristas, cirqueros y similares en establecimientos",1,2553,"Payasos, mimos y cirqueros",1,255,1,25,1,2,TRUE,1,3474,1,0,20,2713
5229,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,7999,"Otros trabajadores artesanales, no clasificados anteriormente",1,799,1,79,1,7,TRUE,1,7332,1,0,16,2694
5411,"Cargadores y similares en la extracción en minas, canteras y pozos",1,9212,Trabajadores de apoyo en la extracción,1,921,1,92,1,9,TRUE,1,9311,1,0,13,2675
8304,Personal de aduanas y migración,1,2522,Agentes aduanales y fronterizos,1,252,1,25,1,2,TRUE,1,3441,1,0,15,2606
6201,"Mecanógrafos, taquígrafos, estenógrafos y escribanos",1,3112,"Taquígrafos, mecanógrafos y similares",1,311,1,31,1,3,TRUE,1,4111,1,0,12,2524
5207,"Trabajadores en la elaboración de aceites, grasas, sal y especias",1,7516,"Trabajadores en la elaboración de aceites, grasas, sal y especias",1,751,1,75,1,7,TRUE,1,7414,1,0,6,2478
5226,"Peleteros, cortadores, curtidores y pintores de cuero, piel y similares",1,7352,"Peleteros, cortadores, curtidores y teñidores de cuero, piel y similares",1,735,1,73,1,7,TRUE,1,7436,1,0,17,2333
1163,"Antropólogos, arqueólogos e historiadores",1,2131,"Antropólogos, arqueólogos e historiadores",1,213,1,21,1,2,TRUE,1,2442,1,0,12,2284
1175,Profesionistas en hotelería y turismo,1,2113,Especialistas en hotelería y turismo,1,211,1,21,1,2,FALSE,0,NA,1,0,4,2176
8302,Detectives,1,2521,Oficiales del ministerio público y detectives,1,252,1,25,1,2,TRUE,1,3450,1,0,11,2122
1422,Coreógrafos y escenógrafos,1,2164,Escenógrafos,1,216,1,21,1,2,TRUE,1,2454,1,0,8,2089
5150,"Jefes, coordinadores y similares en la fabricación de productos de cerámica, vidrio y otros minerales no metálicos",1,1614,Coordinadores y jefes de área en producción manufacturera,1,161,1,16,1,1,TRUE,1,1312,1,0,8,2007
5209,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,7999,"Otros trabajadores artesanales, no clasificados anteriormente",1,799,1,79,1,7,TRUE,1,7332,1,0,14,1895
5253,"Trabajadores en la elaboración de productos de hueso, concha, coral y similares",1,7614,"Trabajadores en la elaboración de productos de hueso, concha, coral y similares",1,761,1,76,1,7,TRUE,1,7331,1,0,12,1682
1413,Actores,1,2175,Actores,1,217,1,21,1,2,TRUE,1,2455,1,0,8,1560
2129,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,1999,"Otros directores, funcionarios, gerentes, coordinadores y jefes de área, no clasificados anteriormente",1,199,1,19,1,1,TRUE,1,1319,1,0,6,1543
1421,Escultores y grabadores,1,2163,Escultores,1,216,1,21,1,2,TRUE,1,2452,1,0,8,1510
6241,Telegrafistas,1,3213,Telefonistas y telegrafistas,1,321,1,32,1,3,TRUE,1,4223,1,0,4,1487
1202,"Técnicos en ingeniería en minas, metalurgia y petróleo",1,2623,"Auxiliares y técnicos mineros, metalúrgicos y petroleros",1,262,1,26,1,2,TRUE,1,3117,1,0,12,1451
1168,Geógrafos,1,2134,Geógrafos,1,213,1,21,1,2,FALSE,0,NA,1,0,3,1419
1231,Técnicos farmacéuticos,1,2814,Técnicos y asistentes farmacéuticos,1,281,1,28,1,2,TRUE,1,3211,1,0,4,1370
1232,Técnicos en ecología,1,2612,"Auxiliares y técnicos en ciencias biológicas, químicas y del medio ambiente",1,261,1,26,1,2,TRUE,1,3211,1,0,7,1235
5329,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,8199,"Otros operadores de instalaciones y maquinaria fija industrial, no clasificados anteriormente",1,819,1,81,1,8,TRUE,1,8172,1,0,5,1231
8152,Trabajadores dedicados a la prostitución,1,5252,Trabajadores dedicados a la prostitución,1,525,1,52,1,5,TRUE,1,5149,1,0,3,1219
5234,Reveladores e impresores de fotografías y similares,1,7323,Reveladores e impresores de fotografías,1,732,1,73,1,7,TRUE,1,7322,1,0,8,1193
1174,"Profesionistas en archivo, biblioteconomía y museografía",1,2144,"Especialistas en archivonomía, biblioteconomía y museografía",1,214,1,21,1,2,TRUE,1,2432,1,0,3,1169
7290,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,9899,"Otros trabajadores en actividades elementales y de apoyo, no clasificados anteriormente",1,989,1,98,1,9,TRUE,1,9153,1,0,1,1167
8121,Ascensoristas y elevadoristas,1,9733,Elevadoristas y ascensoristas,1,973,1,97,1,9,FALSE,0,NA,1,0,3,1152
5228,"Patronistas de productos de tela, cuero, piel y similares",1,7344,Patronistas de productos textiles,1,734,1,73,1,7,FALSE,0,NA,1,0,8,1139
1152,Profesionistas en forestación,1,2233,Especialistas en forestación,1,223,1,22,1,2,TRUE,1,2213,1,0,7,1044
1211,"Técnicos en matemáticas, estadística y actuaría",1,2611,"Auxiliares y técnicos en física, matemáticas, estadística y actuaría",1,261,1,26,1,2,TRUE,1,3434,1,0,8,1026
1332,Profesores y promotores bilingües,1,2334,Profesores de enseñanza bilingüe (indígena),1,233,1,23,1,2,TRUE,1,2149,1,0,2,1010
4140,"Trabajadores en actividades de caza, trampería y similares",2,6231|9123,"Trabajadores en actividades de caza, trampería y similares || Trabajadores de apoyo en actividades de caza y captura",2,NA,2,NA,2,NA,FALSE,0,NA,1,0,6,982
5541,Oficiales maquinistas de transporte marítimo,1,8323,Oficiales maquinistas de transporte marítimo,1,832,1,83,1,8,TRUE,1,3141,1,0,3,877
7190,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,4999,"Otros comerciantes, empleados en ventas y agentes de ventas en establecimientos, no clasificados anteriormente",1,499,1,49,1,4,TRUE,1,3413,1,0,4,873
5389,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,8199,"Otros operadores de instalaciones y maquinaria fija industrial, no clasificados anteriormente",1,819,1,81,1,8,TRUE,1,8172,1,0,1,630
1190,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,1,2991,Otros especialistas no clasificados anteriormente,1,299,1,29,1,2,TRUE,1,3232,1,0,4,590
5542,Oficiales de cubierta,1,8322,Oficiales y marineros de cubierta y prácticos,1,832,1,83,1,8,TRUE,1,3142,1,0,2,571
2131,Directivos de organizaciones empresariales,1,1133,Directores de organizaciones empresariales,1,113,1,11,1,1,FALSE,0,NA,1,0,3,514
2190,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,1999,"Otros directores, funcionarios, gerentes, coordinadores y jefes de área, no clasificados anteriormente",1,199,1,19,1,1,TRUE,1,1319,1,0,3,457
5205,Trabajadores en la elaboración de productos de tabaco,1,7515,"Trabajadores en la elaboración de productos a base de azúcar, chocolate, confitería y tabaco",1,751,1,75,1,7,TRUE,1,7412,1,0,2,450
1110,Físicos y astrónomos,1,2211,Investigadores y especialistas en física,1,221,1,22,1,2,TRUE,1,2111,1,0,4,448
1243,Técnicos en silvicultura y forestación,1,2614,"Auxiliares y técnicos en veterinaria, pesca y forestación",1,261,1,26,1,2,TRUE,1,3227,1,0,6,447
4139,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,2,6999|9121,"Otros trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca, no clasificados anteriormente || Trabajadores de apoyo en actividades silvícolas y forestales",2,NA,2,NA,2,NA,TRUE,2,NA,1,0,1,403
1165,Profesionistas en filosofía y letras,1,2141,Investigadores y especialistas en filosofía y letras (filólogos),1,214,1,21,1,2,FALSE,0,NA,1,0,3,381
1109,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,1,2991,Otros especialistas no clasificados anteriormente,1,299,1,29,1,2,TRUE,1,3232,1,0,2,376
1353,Profesores de lesionados del aparato motor,1,2343,Otros profesores de enseñanza especial,1,234,1,23,1,2,TRUE,1,2340,1,0,4,371
5129,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,7301,"Supervisores de artesanos y trabajadores en la elaboración de productos de madera, papel, textiles y de cuero y piel",1,730,1,73,1,7,TRUE,1,7313,1,1,1,371
8319,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,5999,"Otras ocupaciones en servicios personales y vigilancia, no clasificadas anteriormente",1,599,1,59,1,5,FALSE,0,NA,1,0,3,353
1229,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,2992,Otros técnicos no clasificados anteriormente,1,299,1,29,1,2,TRUE,1,3439,1,0,3,304
8310,Trabajadores de la fuerza armada aérea,2,5401|5411,Supervisores de las fuerzas armadas || Trabajadores de la fuerza armada aérea,2,NA,1,54,1,5,TRUE,2,NA,2,NA,3,292
1410,Compositores y arreglistas,1,2171,Compositores y arreglistas,1,217,1,21,1,2,TRUE,1,2453,1,0,3,286
5239,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,7999,"Otros trabajadores artesanales, no clasificados anteriormente",1,799,1,79,1,7,TRUE,1,7332,1,0,2,233
8139,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,5999,"Otras ocupaciones en servicios personales y vigilancia, no clasificadas anteriormente",1,599,1,59,1,5,FALSE,0,NA,1,0,2,222
1210,Técnicos en física,1,2611,"Auxiliares y técnicos en física, matemáticas, estadística y actuaría",1,261,1,26,1,2,TRUE,1,3434,1,0,2,218
5549,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,8999,"Otros operadores de maquinaria industrial, ensambladores y conductores de transporte, no clasificados anteriormente",1,899,1,89,1,8,TRUE,1,8290,1,0,3,207
2139,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,1999,"Otros directores, funcionarios, gerentes, coordinadores y jefes de área, no clasificados anteriormente",1,199,1,19,1,1,TRUE,1,1319,1,0,1,190
5349,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,8199,"Otros operadores de instalaciones y maquinaria fija industrial, no clasificados anteriormente",1,819,1,81,1,8,TRUE,1,8172,1,0,1,164
1169,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,1,2991,Otros especialistas no clasificados anteriormente,1,299,1,29,1,2,TRUE,1,3232,1,0,1,128
1209,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,2992,Otros técnicos no clasificados anteriormente,1,299,1,29,1,2,TRUE,1,3439,1,0,1,121
1153,Profesionistas en pesca y en acuacultura,1,2234,Especialistas en pesca y en acuacultura,1,223,1,22,1,2,FALSE,0,NA,1,0,2,100
1351,Profesores de débiles visuales e invidentes,1,2343,Otros profesores de enseñanza especial,1,234,1,23,1,2,TRUE,1,2340,1,0,1,93
1239,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,2992,Otros técnicos no clasificados anteriormente,1,299,1,29,1,2,TRUE,1,3439,1,0,1,58
5159,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,7601,"Supervisores de artesanos y trabajadores en la elaboración de productos de cerámica, vidrio, azulejo y similares",1,760,1,76,1,7,TRUE,1,7321,1,1,1,37
1106,Ingenieros biomédicos,1,2421,Ingenieros biomédicos,1,242,1,24,1,2,TRUE,1,2149,1,0,NA,NA
1119,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,1,2991,Otros especialistas no clasificados anteriormente,1,299,1,29,1,2,TRUE,1,3232,1,0,NA,NA
1129,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,1,2991,Otros especialistas no clasificados anteriormente,1,299,1,29,1,2,TRUE,1,3232,1,0,NA,NA
1139,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,2424,Especialistas en seguridad e higiene y salud pública,1,242,1,24,1,2,TRUE,1,3230,1,0,NA,NA
1142,Profesionistas en ciencias del mar y oceanógrafos,1,2221,Biólogos y especialistas en ciencias del mar y oceanógrafos,1,222,1,22,1,2,TRUE,1,2211,1,0,NA,NA
1149,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,1,2991,Otros especialistas no clasificados anteriormente,1,299,1,29,1,2,TRUE,1,3232,1,0,NA,NA
1159,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,1,2991,Otros especialistas no clasificados anteriormente,1,299,1,29,1,2,TRUE,1,3232,1,0,NA,NA
1179,Otros profesionistas que desempeñan una ocupación afín a las comprendidas en este grupo,1,2991,Otros especialistas no clasificados anteriormente,1,299,1,29,1,2,TRUE,1,3232,1,0,NA,NA
1219,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,2992,Otros técnicos no clasificados anteriormente,1,299,1,29,1,2,TRUE,1,3439,1,0,NA,NA
1242,Técnicos en pesca,1,2614,"Auxiliares y técnicos en veterinaria, pesca y forestación",1,261,1,26,1,2,TRUE,1,3227,1,0,NA,NA
1249,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,2614,"Auxiliares y técnicos en veterinaria, pesca y forestación",1,261,1,26,1,2,TRUE,1,3227,1,0,NA,NA
2119,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,1129,"Otros presidentes y directores generales, no clasificados anteriormente",1,112,1,11,1,1,TRUE,1,1239,1,0,NA,NA
4159,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,6999,"Otros trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca, no clasificados anteriormente",1,699,1,69,1,6,TRUE,1,6130,1,0,NA,NA
4169,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,6999,"Otros trabajadores en actividades agrícolas, ganaderas, forestales, caza y pesca, no clasificados anteriormente",1,699,1,69,1,6,TRUE,1,6130,1,0,NA,NA
5109,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,7501,"Supervisores de trabajadores en la elaboración y procesamiento de alimentos, bebidas y productos de tabaco",1,750,1,75,1,7,TRUE,1,7416,1,1,NA,NA
5119,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,8101,Supervisores de operadores de maquinaria industrial,1,810,1,81,1,8,TRUE,1,8111,1,1,NA,NA
5139,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,1,7301,"Supervisores de artesanos y trabajadores en la elaboración de productos de madera, papel, textiles y de cuero y piel",1,730,1,73,1,7,TRUE,1,7313,1,1,NA,NA
5149,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,2630,"Supervisores de mecánicos y técnicos en mantenimiento y reparación de equipos mecánicos, vehículos de motor, instrumentos industriales y equipo de refrigeración",1,263,1,26,1,2,TRUE,1,3115,1,1,NA,NA
5169,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,2,1615|1619,"Coordinadores y jefes de área en construcción, reparación y mantenimiento || Otros coordinadores y jefes de área en producción agropecuaria, industrial, construcción y mantenimiento, no clasificados anteriormente",1,161,1,16,1,1,FALSE,1,NA,1,0,NA,NA
5179,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,1613,Coordinadores y jefes de área en generación y provisión de energía eléctrica y agua,1,161,1,16,1,1,TRUE,1,1311,1,0,NA,NA
