cmo,cmo_label,official_n_destinations,destinations_4d,labels_sinco,n_values_3d,consensus_3d,n_values_2d,consensus_2d,n_values_1d,consensus_1d,all_have_isco88,n_values_isco88,consensus_isco88,n_values_supervision,consensus_supervision,records,population
5200,"Trabajadores en la elaboración de productos de carne, pescado y derivados",1,7511,"Trabajadores en la elaboración de productos de carne, pescado y sus derivados",1,751,1,75,1,7,TRUE,1,7411,1,0,786,249414
5270,Electricistas y linieros,1,2642,Electricistas y linieros,1,264,1,26,1,2,TRUE,1,7137,1,0,891,245802
5322,"Operadores de máquinas de coser, bordar y cortar para la fabricación de productos textiles y prendas de vestir",1,8153,"Operadores de máquinas de costura, bordado y de corte para la confección de productos textiles y prendas de vestir",1,815,1,81,1,8,TRUE,1,8269,1,0,872,234600
4104,Trabajadores en el cultivo de café y/o cacao,1,6113,"Trabajadores en el cultivo de café, cacao y tabaco",1,611,1,61,1,6,TRUE,1,6112,1,0,336,229565
5343,"Operadores de máquinas que cortan, perforan, doblan, labran, etc., piezas y productos metálicos",1,8123,"Operadores de máquinas que cortan, perforan, doblan, troquelan, sueldan, etc., piezas y productos metálicos",1,812,1,81,1,8,TRUE,1,8211,1,0,680,205208
1300,Profesores universitarios y de otros establecimientos de enseñanza superior,1,2321,Profesores universitarios y de enseñanza superior,1,232,1,23,1,2,TRUE,1,2310,1,0,877,194131
5246,"Mecánicos, ajustadores, instaladores y trabajadores de mantenimiento y reparación de maquinaria, instrumentos industriales y equipos de refrigeración",2,2634|2638,"Mecánicos en mantenimiento y reparación de maquinaria e instrumentos industriales || Mecánicos en instalación, mantenimiento y reparación de equipos de refrigeración, climas y aire acondicionado.",1,263,1,26,1,2,TRUE,2,NA,1,0,637,192753
2122,"Directores, gerentes y administradores de área o establecimientos en actividades comerciales (incluye la venta de seguros y bienes raíces)",1,1411,"Directores y gerentes de ventas, comercialización y alquiler",1,141,1,14,1,1,TRUE,1,8290,1,0,657,192479
5248,"Herreros, balconeros, aluminadores y forjadores",1,7221,"Herreros, balconeros, aluminadores y forjadores",1,722,1,72,1,7,TRUE,1,7221,1,0,772,192140
2121,"Directores, gerentes y administradores de área o establecimientos de finanzas, contabilidad, recursos humanos, administración e impartición de justicia",4,1211|1212|1224|1321,"Directores y gerentes en administración, recursos humanos y mercadotecnia || Directores y gerentes en servicios contables, financieros, banca y seguros || Jueces de juzgado, directores y gerentes en servicios legales y procuración de justicia || Directores y gerentes en informática",3,NA,2,NA,1,1,TRUE,4,NA,1,0,649,188723
8201,"Personas dedicadas al cuidado de ancianos, enfermos y niños en casas particulares, excepto enfermeras",1,5222,"Cuidadores de niños, personas con discapacidad y ancianos en casas particulares",1,522,1,52,1,5,TRUE,1,5133,1,0,659,186224
1105,"Ingenieros eléctricos, en electrónica, informática y telecomunicaciones",5,2241|2242|2271|2272|2281,Ingenieros eléctricos || Ingenieros electrónicos || Desarrolladores y analistas de software y multimedia || Administradores de bases de datos y redes de computadora || Ingenieros en comunicaciones y telecomunicaciones,3,NA,1,22,1,2,TRUE,3,NA,1,0,657,186122
1310,Profesores de preparatoria y equivalentes,1,2322,Profesores de preparatoria y equivalentes,1,232,1,23,1,2,TRUE,1,2320,1,0,735,178707
6160,"Jefes de departamento, coordinadores y supervisores en servicios de restaurante, hospedaje y comercio",2,1711|1712,"Coordinadores y jefes de área de ventas, comercialización y alquiler || Coordinadores y jefes de área de restaurantes y hoteles",1,171,1,17,1,1,TRUE,2,NA,1,0,615,172672
4120,Trabajadores que combinan actividades agrícolas con ganaderas,2,6131|9113,Trabajadores que combinan actividades agrícolas con ganaderas || Trabajadores de apoyo que realizan actividades agrícolas y ganaderas,2,NA,2,NA,2,NA,TRUE,2,NA,1,0,713,170204
