stage,function_name,classification,required_sinco_level,additional_requirements,applicable,records_total,population_total,records_classified,records_pending,population_classified,population_pending,record_coverage,population_coverage
all_accepted_enoe,procesar_vars_laborales,mismatch,sinco1d,Tambien requiere escolaridad valida,TRUE,170325,48766853,170240,85,48743627,23226,0.9995009540584178,0.9995237338771891
all_accepted_enoe,calcular_desajuste_estadistico,mismatch2,sinco1d,Tambien requiere anios_es y referencia estimable,TRUE,170325,48766853,170063,262,48685019,81834,0.9984617642741818,0.9983219339578874
all_accepted_enoe,procesar_clases_damian,grupo_ocu9_damian,sinco1d (4d preferido para clase),Solo requiere SINCO 1d,TRUE,170325,48766853,170325,0,48766853,0,1,1
all_accepted_enoe,procesar_clases_damian,isco88_damian,sinco4d,Requiere correspondencia SINCO-ISCO88,TRUE,170325,48766853,146531,23794,42500652,6266201,0.8603023631293116,0.8715069639617713
all_accepted_enoe,procesar_clases_damian,clase_ocu_damian,sinco1d (4d preferido para clase),Puede recuperar por gran grupo SINCO,TRUE,170325,48766853,170325,0,48766853,0,1,1
all_accepted_enoe,procesar_clases_damian,calificada_damian,sinco1d (4d preferido para clase),Derivada de clase_ocu_damian,TRUE,170325,48766853,170325,0,48766853,0,1,1
all_accepted_enoe,procesar_clases_damian,manual_damian,sinco1d (4d preferido para clase),Derivada de clase_ocu_damian,TRUE,170325,48766853,170325,0,48766853,0,1,1
all_accepted_enoe,procesar_clases_damian,supervisa_damian,sinco4d,Solo requiere SINCO 4d,TRUE,170325,48766853,146956,23369,42599308,6167545,0.8627975928372229,0.873529977421344
all_accepted_enoe,procesar_clases_damian,clase_egp13_damian,sinco4d,Tambien requiere posicion y tamano del establecimiento,TRUE,170325,48766853,147034,23291,42620142,6146711,0.8632555408777337,0.8739571938340988
all_accepted_enoe,procesar_clases_damian,clase_egp7_damian,sinco4d,Derivada de clase_egp13_damian,TRUE,170325,48766853,147034,23291,42620142,6146711,0.8632555408777337,0.8739571938340988
