cmo,classification,old_value,new_value,n,w_pre,w_post,historical_target_official,forward,unique_forward,reverse,unique_reverse,train_n,validation_n,train_forward,validation_forward,train_reverse,validation_reverse,train_unique_forward,validation_unique_forward,train_unique_reverse,validation_unique_reverse,accepted,reason
5227,grupo_ocu9_damian,7,7,55,19484,19395,TRUE,0.8855558585583129,TRUE,1,TRUE,19,36,0.811963058419244,0.939558707643814,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
5225,grupo_ocu9_damian,7,7,17,3741,3468,TRUE,0.8203947368421053,TRUE,1,TRUE,8,9,0.7180156657963447,0.9664715274081959,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
5421,grupo_ocu9_damian,9,9,11,3022,3046,TRUE,0.3484376801568085,TRUE,1,TRUE,7,4,0.4399308556611927,0.1651662049861496,1,1,TRUE,FALSE,TRUE,TRUE,FALSE,muestra_insuficiente
5242,grupo_ocu9_damian,7,7,118,32561,33052,TRUE,0.8609010628734599,TRUE,1,TRUE,54,64,0.8674172040660182,0.8547940995697603,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
5200,grupo_ocu9_damian,7,9,20,6074,6037,TRUE,0.09707062151407156,FALSE,1,TRUE,12,8,0.08957581227436823,0.10687022900763359,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
5267,grupo_ocu9_damian,7,9,18,6687,6752,TRUE,0.16248724303834378,FALSE,1,TRUE,10,8,0.21744380456994242,0.10218122515543777,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
5202,grupo_ocu9_damian,7,7,431,127675,128388,TRUE,0.7766638887030154,TRUE,1,TRUE,228,203,0.8197149920399684,0.7384882012671012,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
1432,grupo_ocu9_damian,2,1,1,114,115,TRUE,0.038267875125881166,FALSE,1,TRUE,1,NA,0.05236564079007809,NA,1,NA,FALSE,NA,TRUE,NA,FALSE,clasificaciones_discrepantes
1132,grupo_ocu9_damian,2,2,122,33662,33487,TRUE,0.9951810790835182,TRUE,1,TRUE,60,62,0.9960851063829788,0.9941975308641975,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
1172,grupo_ocu9_damian,2,2,334,80755,80446,TRUE,0.8486768816865292,TRUE,1,TRUE,184,150,0.8302571158003824,0.8749840508331844,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
5121,grupo_ocu9_damian,8,7,10,2366,2367,TRUE,0.24239319741829732,FALSE,1,TRUE,5,5,0.17170818505338079,0.33832407631007005,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
1251,grupo_ocu9_damian,2,4,68,16340,16132,TRUE,0.16908462509571803,FALSE,1,TRUE,33,35,0.16523486355155517,0.17300741669278177,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
6210,grupo_ocu9_damian,3,1,11,1636,1716,TRUE,0.013254690993939786,FALSE,1,TRUE,6,5,0.009185950539540855,0.017844212268542464,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
5342,grupo_ocu9_damian,8,8,38,10599,10553,TRUE,0.8460249042145593,TRUE,1,TRUE,22,16,0.8958370555654815,0.805800028855865,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
1204,grupo_ocu9_damian,2,1,5,1015,959,TRUE,0.019145524851457135,FALSE,1,TRUE,1,4,0.005642565196947227,0.03386155786818038,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
5208,grupo_ocu9_damian,5,5,328,95215,96853,TRUE,0.8048333107925345,TRUE,1,TRUE,166,162,0.7609502598366741,0.8432550692011351,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,concordancia_estable_panel
2127,grupo_ocu9_damian,1,5,15,2154,2200,TRUE,0.1327662721893491,FALSE,1,TRUE,4,11,0.05004847309743093,0.21838936276969392,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,clasificaciones_discrepantes
