p3coe,pos_ocu,emple7c,p4a,sinco_original,egp_original,egp_oficial,revision,registros,poblacion,cmo_label,destinos,etiquetas_destinos
6121,1,7,4850,1623,2,2,original_coincide_con_consenso_oficial,1,1219,"Jefes de departamento, coordinadores y supervisores en la coordinación del transporte",1623|2661|2662|8301,"1623 Coordinadores y jefes de área en servicios de transporte || 2661 Controladores de tráfico aéreo || 2662 Controladores de tráfico de otros transportes (terrestre, ferroviario y marítimo) || 8301 Supervisores de conductores de transporte y de maquinaria móvil"
5246,1,6,2210,2634,8,8,original_coincide_con_consenso_oficial,6,1217,"Mecánicos, ajustadores, instaladores y trabajadores de mantenimiento y reparación de maquinaria, instrumentos industriales y equipos de refrigeración",2634|2638,"2634 Mecánicos en mantenimiento y reparación de maquinaria e instrumentos industriales || 2638 Mecánicos en instalación, mantenimiento y reparación de equipos de refrigeración, climas y aire acondicionado."
1250,3,1,6141,2531,3,NA,requiere_revision_semantica,1,1216,Técnicos en ciencias sociales,2531|2532|2711,2531 Auxiliares en ciencias sociales y humanistas || 2532 Auxiliares en servicios jurídicos || 2711 Auxiliares y técnicos en pedagogía y en educación
6160,1,4,4611,1711,2,2,original_coincide_con_consenso_oficial,2,1216,"Jefes de departamento, coordinadores y supervisores en servicios de restaurante, hospedaje y comercio",1711|1712,"1711 Coordinadores y jefes de área de ventas, comercialización y alquiler || 1712 Coordinadores y jefes de área de restaurantes y hoteles"
7201,4,2,4340,4224,3,NA,requiere_revision_semantica,4,1214,Vendedores ambulantes de artículos diversos,4224|9512|9661|9663,4224 Vendedores por catálogo || 9512 Vendedores ambulantes de artículos diversos (excluyendo los de venta de alimentos) || 9661 Recolectores de basura y material reciclable || 9663 Recolectores de otros materiales
6150,1,6,7132,1721,1,1,original_coincide_con_consenso_oficial,2,1205,"Jefes de departamento, coordinadores y supervisores en servicios culturales y de esparcimiento",1721|1722,"1721 Coordinadores y jefes de área en actividades artísticas, de cine, teatro y afines || 1722 Coordinadores y jefes de área en museos, cines, deportivos y servicios culturales"
2133,1,2,8130,1134,1,1,original_coincide_con_consenso_oficial,3,1204,"Directivos de organizaciones humanitarias, religiosas, asociaciones civiles y ejidales",1134|1135,1134 Directores de organizaciones agrarias || 1135 Directores de organizaciones civiles y religiosas
4119,1,3,1121,6129,13,NA,requiere_revision_semantica,6,1199,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,6129|9112,"6129 Otros trabajadores en actividades ganaderas y en la cría de animales, no clasificados anteriormente || 9112 Trabajadores de apoyo en actividades ganaderas"
5141,1,6,3380,2630,2,NA,requiere_revision_semantica,6,1191,"Supervisores, inspectores y similares en la fabricación metalúrgica y en la fabricación de productos eléctricos y electrónicos, la reparación y mantenimiento de maquinaria y productos metálicos y de precisión",2630|7201|8201,"2630 Supervisores de mecánicos y técnicos en mantenimiento y reparación de equipos mecánicos, vehículos de motor, instrumentos industriales y equipo de refrigeración || 7201 Supervisores de artesanos y trabajadores en el tratamiento y elaboración de productos de metal || 8201 Supervisores en procesos de ensamblado y montaje de maquinaria, herramientas y productos metálicos y electrónicos"
1230,2,2,4350,2612,2,NA,requiere_revision_semantica,1,1183,Técnicos laboratoristas químicos y biólogos,2612|2813|2827,"2612 Auxiliares y técnicos en ciencias biológicas, químicas y del medio ambiente || 2813 Técnicos de laboratorios médicos || 2827 Fumigadores y controladores de plagas"
6131,1,6,9313,NA,NA,NA,original_tampoco_resuelve,13,1182,NA,NA,NA
2124,2,2,2361,1312,2,2,original_coincide_con_consenso_oficial,3,1181,"Directores, gerentes y administradores de área o establecimientos en actividades de producción en industrias manufactureras, en la construcción y los servicios de reparación y mantenimiento",1312|1313|1314|1315,"1312 Directores y gerentes en producción minera, petrolera y gas || 1313 Directores y gerentes en generación y provisión de energía eléctrica y agua || 1314 Directores y gerentes en producción manufacturera || 1315 Directores y gerentes en construcción, reparación y mantenimiento"
4170,1,3,1121,6101,7,7,original_coincide_con_consenso_oficial,5,1172,"Capataces, caporales, mayorales y similares en actividades agropecuarias,silvícolas y pesqueras",6101|6201,"6101 Supervisores, encargados y capataces agropecuarios || 6201 Supervisores, encargados y capataces de trabajadores en actividades pesqueras, acuícolas, forestales, caza y similares"
2124,2,3,3160,1312,2,2,original_coincide_con_consenso_oficial,5,1172,"Directores, gerentes y administradores de área o establecimientos en actividades de producción en industrias manufactureras, en la construcción y los servicios de reparación y mantenimiento",1312|1313|1314|1315,"1312 Directores y gerentes en producción minera, petrolera y gas || 1313 Directores y gerentes en generación y provisión de energía eléctrica y agua || 1314 Directores y gerentes en producción manufacturera || 1315 Directores y gerentes en construcción, reparación y mantenimiento"
8150,1,6,7210,3222,4,NA,requiere_revision_semantica,9,1170,"Trabajadores de apoyo para la realización de espectáculos, turismo y deporte",3222|4233|5251|5254|9713,"3222 Guías de turismo en museos, casinos, parques, cines y otros centros recreativos || 4233 Modelos de moda, arte y publicidad || 5251 Astrólogos, adivinadores y afines || 5254 Entrenadores de animales y ocupaciones relacionadas con el cuidado de mascotas || 9713 Trabajadores de apoyo a la realización de espectáculos, deportes y en parques de diversiones"
5400,1,5,6112,9236,10,10,original_coincide_con_consenso_oficial,2,1165,"Ayudantes, peones y similares en la fabricación de alimentos, bebidas y productos de tabaco",9236|9411,"9236 Trabajadores de apoyo en la industria de alimentos, bebidas y productos de tabaco || 9411 Ayudantes en la preparación de alimentos"
2124,1,3,2363,1312,2,2,original_coincide_con_consenso_oficial,2,1163,"Directores, gerentes y administradores de área o establecimientos en actividades de producción en industrias manufactureras, en la construcción y los servicios de reparación y mantenimiento",1312|1313|1314|1315,"1312 Directores y gerentes en producción minera, petrolera y gas || 1313 Directores y gerentes en generación y provisión de energía eléctrica y agua || 1314 Directores y gerentes en producción manufacturera || 1315 Directores y gerentes en construcción, reparación y mantenimiento"
2126,1,6,9312,1222,1,NA,requiere_revision_semantica,3,1160,"Directores, gerentes y administradores de área o establecimientos en servicios asistenciales y de readaptación social",1222|1225|1226,1222 Directores y gerentes en desarrollo social y económico || 1225 Comandantes de las fuerzas armadas || 1226 Directores en servicios de vigilancia y seguridad
2124,1,2,3110,1312,2,2,original_coincide_con_consenso_oficial,3,1156,"Directores, gerentes y administradores de área o establecimientos en actividades de producción en industrias manufactureras, en la construcción y los servicios de reparación y mantenimiento",1312|1313|1314|1315,"1312 Directores y gerentes en producción minera, petrolera y gas || 1313 Directores y gerentes en generación y provisión de energía eléctrica y agua || 1314 Directores y gerentes en producción manufacturera || 1315 Directores y gerentes en construcción, reparación y mantenimiento"
6121,1,3,4840,1623,2,2,original_coincide_con_consenso_oficial,4,1147,"Jefes de departamento, coordinadores y supervisores en la coordinación del transporte",1623|2661|2662|8301,"1623 Coordinadores y jefes de área en servicios de transporte || 2661 Controladores de tráfico aéreo || 2662 Controladores de tráfico de otros transportes (terrestre, ferroviario y marítimo) || 8301 Supervisores de conductores de transporte y de maquinaria móvil"
4160,1,6,1121,6117,13,13,original_coincide_con_consenso_oficial,2,1147,Trabajadores en actividades de beneficio de productos agropecuarios,6117|6128,6117 Trabajadores en actividades de beneficio de productos agrícolas || 6128 Trabajadores en actividades de beneficio de productos pecuarios
2124,2,2,3150,1312,2,2,original_coincide_con_consenso_oficial,5,1146,"Directores, gerentes y administradores de área o establecimientos en actividades de producción en industrias manufactureras, en la construcción y los servicios de reparación y mantenimiento",1312|1313|1314|1315,"1312 Directores y gerentes en producción minera, petrolera y gas || 1313 Directores y gerentes en generación y provisión de energía eléctrica y agua || 1314 Directores y gerentes en producción manufacturera || 1315 Directores y gerentes en construcción, reparación y mantenimiento"
7121,1,6,3150,8344,8,NA,requiere_revision_semantica,2,1140,Repartidores,8344|9723,8344 Conductores de motocicleta || 9723 Repartidores de mercancías (a pie y en bicicleta)
2124,1,6,6211,1312,1,1,original_coincide_con_consenso_oficial,1,1140,"Directores, gerentes y administradores de área o establecimientos en actividades de producción en industrias manufactureras, en la construcción y los servicios de reparación y mantenimiento",1312|1313|1314|1315,"1312 Directores y gerentes en producción minera, petrolera y gas || 1313 Directores y gerentes en generación y provisión de energía eléctrica y agua || 1314 Directores y gerentes en producción manufacturera || 1315 Directores y gerentes en construcción, reparación y mantenimiento"
2126,1,6,9314,1222,1,NA,requiere_revision_semantica,4,1134,"Directores, gerentes y administradores de área o establecimientos en servicios asistenciales y de readaptación social",1222|1225|1226,1222 Directores y gerentes en desarrollo social y económico || 1225 Comandantes de las fuerzas armadas || 1226 Directores en servicios de vigilancia y seguridad
8150,2,2,7131,3222,5,NA,requiere_revision_semantica,7,1133,"Trabajadores de apoyo para la realización de espectáculos, turismo y deporte",3222|4233|5251|5254|9713,"3222 Guías de turismo en museos, casinos, parques, cines y otros centros recreativos || 4233 Modelos de moda, arte y publicidad || 5251 Astrólogos, adivinadores y afines || 5254 Entrenadores de animales y ocupaciones relacionadas con el cuidado de mascotas || 9713 Trabajadores de apoyo a la realización de espectáculos, deportes y en parques de diversiones"
2124,2,2,3370,1312,2,2,original_coincide_con_consenso_oficial,3,1132,"Directores, gerentes y administradores de área o establecimientos en actividades de producción en industrias manufactureras, en la construcción y los servicios de reparación y mantenimiento",1312|1313|1314|1315,"1312 Directores y gerentes en producción minera, petrolera y gas || 1313 Directores y gerentes en generación y provisión de energía eléctrica y agua || 1314 Directores y gerentes en producción manufacturera || 1315 Directores y gerentes en construcción, reparación y mantenimiento"
6180,1,6,2363,1723,1,NA,requiere_revision_semantica,1,1130,"Otros jefes de departamento, coordinadores y supervisores en actividades no clasificadas anteriormente",1723|5201|9601,"1723 Coordinadores y jefes de área en servicios funerarios y otros servicios || 5201 Supervisores y encargados de trabajadores en cuidados personales y del hogar || 9601 Supervisores en limpieza, amas de llaves, mayordomos y en estacionamientos"
5141,1,6,5611,2630,2,NA,requiere_revision_semantica,4,1129,"Supervisores, inspectores y similares en la fabricación metalúrgica y en la fabricación de productos eléctricos y electrónicos, la reparación y mantenimiento de maquinaria y productos metálicos y de precisión",2630|7201|8201,"2630 Supervisores de mecánicos y técnicos en mantenimiento y reparación de equipos mecánicos, vehículos de motor, instrumentos industriales y equipo de refrigeración || 7201 Supervisores de artesanos y trabajadores en el tratamiento y elaboración de productos de metal || 8201 Supervisores en procesos de ensamblado y montaje de maquinaria, herramientas y productos metálicos y electrónicos"
1204,1,3,8112,2621,2,NA,requiere_revision_semantica,11,1125,"Técnicos en ingeniería química, industrial y mecánica",2621|2631|2633|2635|2637|2645,"2621 Auxiliares y técnicos industriales y químicos || 2631 Técnicos en mantenimiento y reparación de vehículos de motor || 2633 Técnicos en mantenimiento y reparación de maquinaria e instrumentos industriales || 2635 Técnicos en mantenimiento y reparación de instrumentos de precisión y musicales || 2637 Técnicos en la instalación, reparación y mantenimiento de equipos de refrigeración, climas y aire acondicionado || 2645 Técnicos en reparación de equipos electromecánicos"
7121,4,2,4340,8344,9,NA,requiere_revision_semantica,1,1123,Repartidores,8344|9723,8344 Conductores de motocicleta || 9723 Repartidores de mercancías (a pie y en bicicleta)
5141,1,5,3370,2630,2,NA,requiere_revision_semantica,1,1118,"Supervisores, inspectores y similares en la fabricación metalúrgica y en la fabricación de productos eléctricos y electrónicos, la reparación y mantenimiento de maquinaria y productos metálicos y de precisión",2630|7201|8201,"2630 Supervisores de mecánicos y técnicos en mantenimiento y reparación de equipos mecánicos, vehículos de motor, instrumentos industriales y equipo de refrigeración || 7201 Supervisores de artesanos y trabajadores en el tratamiento y elaboración de productos de metal || 8201 Supervisores en procesos de ensamblado y montaje de maquinaria, herramientas y productos metálicos y electrónicos"
7201,4,2,4661,4224,3,NA,requiere_revision_semantica,3,1116,Vendedores ambulantes de artículos diversos,4224|9512|9661|9663,4224 Vendedores por catálogo || 9512 Vendedores ambulantes de artículos diversos (excluyendo los de venta de alimentos) || 9661 Recolectores de basura y material reciclable || 9663 Recolectores de otros materiales
5400,1,6,4310,9236,10,10,original_coincide_con_consenso_oficial,4,1114,"Ayudantes, peones y similares en la fabricación de alimentos, bebidas y productos de tabaco",9236|9411,"9236 Trabajadores de apoyo en la industria de alimentos, bebidas y productos de tabaco || 9411 Ayudantes en la preparación de alimentos"
6101,1,3,6132,1523,2,2,original_coincide_con_consenso_oficial,1,1112,"Jefes de departamento, coordinadores y supervisores en servicios de educación",1523|2311,1523 Coordinadores y jefes de área en centros de enseñanza y capacitación || 2311 Supervisores e inspectores educativos
5249,1,3,4681,2639,9,9,original_coincide_con_consenso_oficial,4,1111,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,2639|7214,"2639 Otras ocupaciones de mecánicos y técnicos en el mantenimiento y reparación de equipos mecánicos, vehículos de motor e instrumentos industriales, no clasificados anteriormente || 7214 Montadores de estructuras metálicas"
2121,1,4,4681,1211,2,NA,requiere_revision_semantica,3,1111,"Directores, gerentes y administradores de área o establecimientos de finanzas, contabilidad, recursos humanos, administración e impartición de justicia",1211|1212|1224|1321,"1211 Directores y gerentes en administración, recursos humanos y mercadotecnia || 1212 Directores y gerentes en servicios contables, financieros, banca y seguros || 1224 Jueces de juzgado, directores y gerentes en servicios legales y procuración de justicia || 1321 Directores y gerentes en informática"
