cmo,classification,method,rule_id,records,population
2133,baja_damian,consenso_destinos_oficiales,OFICIAL_2133,18,3798
5410,baja_damian,consenso_destinos_oficiales,OFICIAL_5410,48,7842
7201,baja_damian,consenso_destinos_oficiales,OFICIAL_7201,43,10305
5170,baja_damian,consenso_destinos_oficiales,OFICIAL_5170,62,17410
5249,baja_damian,consenso_destinos_oficiales,OFICIAL_5249,17,5042
4134,baja_damian,consenso_destinos_oficiales,OFICIAL_4134,73,20232
4119,baja_damian,consenso_destinos_oficiales,OFICIAL_4119,61,17736
8311,baja_damian,consenso_destinos_oficiales,OFICIAL_8311,50,8655
4151,baja_damian,consenso_destinos_oficiales,OFICIAL_4151,15,3595
4160,baja_damian,consenso_destinos_oficiales,OFICIAL_4160,50,8027
5159,baja_damian,consenso_destinos_oficiales,OFICIAL_5159,1,37
8310,baja_damian,consenso_destinos_oficiales,OFICIAL_8310,3,292
4139,baja_damian,consenso_destinos_oficiales,OFICIAL_4139,1,403
5246,alta_damian,consenso_destinos_oficiales,OFICIAL_5246,435,126487
8100,alta_damian,consenso_destinos_oficiales,OFICIAL_8100,3505,985462
1105,alta_damian,consenso_destinos_oficiales,OFICIAL_1105,657,186122
6270,alta_damian,consenso_destinos_oficiales,OFICIAL_6270,3567,823129
5400,alta_damian,consenso_destinos_oficiales,OFICIAL_5400,1734,453965
2127,alta_damian,consenso_destinos_oficiales,OFICIAL_2127,455,111666
6130,alta_damian,consenso_destinos_oficiales,OFICIAL_6130,134,45536
2124,alta_damian,consenso_destinos_oficiales,OFICIAL_2124,456,127106
5100,alta_damian,consenso_destinos_oficiales,OFICIAL_5100,37,15446
6230,alta_damian,consenso_destinos_oficiales,OFICIAL_6230,732,198905
1423,alta_damian,consenso_destinos_oficiales,OFICIAL_1423,482,152065
2121,alta_damian,consenso_destinos_oficiales,OFICIAL_2121,636,183740
6260,alta_damian,consenso_destinos_oficiales,OFICIAL_6260,174,54708
6150,alta_damian,consenso_destinos_oficiales,OFICIAL_6150,128,43527
6160,alta_damian,consenso_destinos_oficiales,OFICIAL_6160,612,171457
6101,alta_damian,consenso_destinos_oficiales,OFICIAL_6101,440,93003
2100,alta_damian,consenso_destinos_oficiales,OFICIAL_2100,22,4550
2125,alta_damian,consenso_destinos_oficiales,OFICIAL_2125,427,98368
2123,alta_damian,consenso_destinos_oficiales,OFICIAL_2123,96,31195
6232,alta_damian,consenso_destinos_oficiales,OFICIAL_6232,150,39167
1104,alta_damian,consenso_destinos_oficiales,OFICIAL_1104,318,89773
1221,alta_damian,consenso_destinos_oficiales,OFICIAL_1221,130,31305
7121,alta_damian,consenso_destinos_oficiales,OFICIAL_7121,442,117567
6110,alta_damian,consenso_destinos_oficiales,OFICIAL_6110,353,97836
