strategy,record_coverage_4d,population_coverage_4d,record_coverage_3d,population_coverage_3d,record_coverage_2d,population_coverage_2d,record_coverage_1d,population_coverage_1d,cmo,records,population,records_4d,population_4d,records_3d,population_3d,records_2d,population_2d,records_1d,population_1d,cmo_label,official_destinations_4d,official_n_destinations_4d,official_maximum_level,review_rules,review_rule_types,review_scopes,application_variables,panel_pair_n_max,panel_forward_share_max,panel_reverse_share_max
oficial_panel_enoe,0.0858456821665815,0.08272011052448042,0.0858456821665815,0.08272011052448042,0.0858456821665815,0.08272011052448042,1,1,6270,3914,900434,336,74484,336,74484,336,74484,3914,900434,Otros trabajadores en servicios administrativos no clasificados anteriormente,3115|9731|9732,3,unresolved,CMO2012_SINCO2011_SCIAN_6270_15,scian_sector,aplicacion_auxiliar_ENOE,cmo_4d|scian,42,0.5778953834522516,0.5914194816131749
oficial,1,1,1,1,1,1,1,1,7210,2692,853855,2692,853855,2692,853855,2692,853855,2692,853855,Vendedores y preparadores de alimentos en la vía pública,9521,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,7210,2692,853855,2692,853855,2692,853855,2692,853855,2692,853855,Vendedores y preparadores de alimentos en la vía pública,9521,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,7210,2692,853855,2692,853855,2692,853855,2692,853855,2692,853855,Vendedores y preparadores de alimentos en la vía pública,9521,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,5521,2694,832961,2694,832961,2694,832961,2694,832961,2694,832961,"Conductores de camiones, camionetas y automóviles de carga",8341,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,5521,2694,832961,2694,832961,2694,832961,2694,832961,2694,832961,"Conductores de camiones, camionetas y automóviles de carga",8341,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,5521,2694,832961,2694,832961,2694,832961,2694,832961,2694,832961,"Conductores de camiones, camionetas y automóviles de carga",8341,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,6200,3097,777117,3097,777117,3097,777117,3097,777117,3097,777117,Secretarias,3111,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,6200,3097,777117,3097,777117,3097,777117,3097,777117,3097,777117,Secretarias,3111,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,6200,3097,777117,3097,777117,3097,777117,3097,777117,3097,777117,Secretarias,3111,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,1330,2425,660802,2425,660802,2425,660802,2425,660802,2425,660802,Profesores de enseñanza primaria,2332,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,1330,2425,660802,2425,660802,2425,660802,2425,660802,2425,660802,Profesores de enseñanza primaria,2332,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,1330,2425,660802,2425,660802,2425,660802,2425,660802,2425,660802,Profesores de enseñanza primaria,2332,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,0,0,0,0,0,0,0,0,8303,2449,652645,0,0,0,0,0,0,0,0,Vigilantes y guardias,5313|9633,2,unresolved,CMO2012_SINCO2011_GLOBAL_8303,panel_global,validacion_panel_ENOE,cmo_4d,438,0.7702987223838127,0.8116180563959821
oficial_panel,1,1,1,1,1,1,1,1,8303,2449,652645,2449,652645,2449,652645,2449,652645,2449,652645,Vigilantes y guardias,5313|9633,2,unresolved,CMO2012_SINCO2011_GLOBAL_8303,panel_global,validacion_panel_ENOE,cmo_4d,438,0.7702987223838127,0.8116180563959821
oficial_panel_enoe,1,1,1,1,1,1,1,1,8303,2449,652645,2449,652645,2449,652645,2449,652645,2449,652645,Vigilantes y guardias,5313|9633,2,unresolved,CMO2012_SINCO2011_GLOBAL_8303,panel_global,validacion_panel_ENOE,cmo_4d,438,0.7702987223838127,0.8116180563959821
oficial,1,1,1,1,1,1,1,1,5202,2074,608115,2074,608115,2074,608115,2074,608115,2074,608115,"Trabajadores en la elaboración de pan, tortilla, repostería y otros productos de cereales y harinas",7513,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,5202,2074,608115,2074,608115,2074,608115,2074,608115,2074,608115,"Trabajadores en la elaboración de pan, tortilla, repostería y otros productos de cereales y harinas",7513,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,5202,2074,608115,2074,608115,2074,608115,2074,608115,2074,608115,"Trabajadores en la elaboración de pan, tortilla, repostería y otros productos de cereales y harinas",7513,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,4103,1849,568617,1849,568617,1849,568617,1849,568617,1849,568617,Trabajadores en el cultivo de hortalizas y verduras,6112,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel,1,1,1,1,1,1,1,1,4103,1849,568617,1849,568617,1849,568617,1849,568617,1849,568617,Trabajadores en el cultivo de hortalizas y verduras,6112,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial_panel_enoe,1,1,1,1,1,1,1,1,4103,1849,568617,1849,568617,1849,568617,1849,568617,1849,568617,Trabajadores en el cultivo de hortalizas y verduras,6112,1,4d,NA,NA,NA,NA,NA,NA,NA
oficial,1,1,1,1,1,1,1,1,5208,2021,532877,2021,532877,2021,532877,2021,532877,2021,532877,Trabajadores en la elaboración de comidas,5111,1,4d,NA,NA,NA,NA,NA,NA,NA
