"escenario","anio","trim","salida","clasificacion","nivel_requerido","capas_decision","decision_phase","decision_ceiling","riesgo","recomendacion","aplicable","registros_total","registros_clasificados","registros_pendientes","poblacion_total","poblacion_clasificada","cobertura_registros","cobertura_ponderada","nota_medida"
"SINCO2019_2021T3",2021,3,"supervisa_damian","Supervision","4d_o_consenso","puente+consenso_panel","integrated","todas_las_decisiones_aceptadas","bajo_medio","No usar para deducir teletrabajo",TRUE,188379,186253,2126,56422329,55804453,0.988714240971658,0.989049087285993,"cobertura_de_salida_no_exactitud"
"SINCO2019_2021T3",2021,3,"clase_egp13_damian","EGP13","4d+ISCO88+posicion+tamano","puente+consenso+rescate_oficial+reglas_enoe+legado_damian","integrated","todas_las_decisiones_aceptadas","medio","Estratificar por evidencia; legado_no_validado es una decision analitica",TRUE,188379,186220,2159,56422329,55792932,0.988539062209694,0.988844895076912,"cobertura_de_salida_no_exactitud"
"SINCO2019_2021T3",2021,3,"clase_egp7_damian","EGP7","EGP13","consenso_por_clasificacion","integrated","todas_las_decisiones_aceptadas","bajo_medio","Preferible a EGP13 cuando no se requiere detalle",TRUE,188379,186220,2159,56422329,55792932,0.988539062209694,0.988844895076912,"cobertura_de_salida_no_exactitud"
"SINCO2019_2021T3",2021,3,"clase_alt6_damian","EGP alternativa de 6 clases","EGP13","consenso_por_clasificacion","integrated","todas_las_decisiones_aceptadas","bajo_medio","Preferible a EGP13 cuando no se requiere detalle",TRUE,188379,186220,2159,56422329,55792932,0.988539062209694,0.988844895076912,"cobertura_de_salida_no_exactitud"
"SINCO2019_2021T3",2021,3,"macro_egp4_damian","Macro EGP4","EGP13","consenso_por_clasificacion","integrated","todas_las_decisiones_aceptadas","bajo_medio","Adecuada para comparaciones robustas",TRUE,188379,186220,2159,56422329,55792932,0.988539062209694,0.988844895076912,"cobertura_de_salida_no_exactitud"
"SINCO2019_2021T3",2021,3,"macro_solis4_damian","Macro Solis4","EGP13","consenso_por_clasificacion","integrated","todas_las_decisiones_aceptadas","bajo_medio","Adecuada para comparaciones robustas",TRUE,188379,186220,2159,56422329,55792932,0.988539062209694,0.988844895076912,"cobertura_de_salida_no_exactitud"
"SINCO2019_2021T3",2021,3,"egp3_damian","EGP de 3 clases","EGP13","consenso_por_clasificacion","integrated","todas_las_decisiones_aceptadas","bajo_medio","Adecuada para comparaciones robustas",TRUE,188379,186220,2159,56422329,55792932,0.988539062209694,0.988844895076912,"cobertura_de_salida_no_exactitud"
"SINCO2019_2021T3",2021,3,"baja_damian","Indicador de clase baja","EGP13","consenso_por_clasificacion","integrated","todas_las_decisiones_aceptadas","bajo_medio","Reportar procedencia del consenso",TRUE,188379,186220,2159,56422329,55792932,0.988539062209694,0.988844895076912,"cobertura_de_salida_no_exactitud"
"SINCO2019_2021T3",2021,3,"alta_damian","Indicador de clase alta","EGP13","consenso_por_clasificacion","integrated","todas_las_decisiones_aceptadas","bajo_medio","Reportar procedencia del consenso",TRUE,188379,186220,2159,56422329,55792932,0.988539062209694,0.988844895076912,"cobertura_de_salida_no_exactitud"
"SINCO2019_2021T3",2021,3,"class_ocu","Ocupacion del modulo de cuidado","puente_propio","puente_cuidado","integrated","todas_las_decisiones_aceptadas","medio","Usar solo para el constructo de cuidado",TRUE,188379,188270,109,56422329,56393289,0.999421379240786,0.99948531015088,"cobertura_de_salida_no_exactitud"
"SINCO2019_2021T3",2021,3,"isco_care","ISCO del modulo de cuidado","puente_propio","puente_cuidado","integrated","todas_las_decisiones_aceptadas","medio","No sustituye ISCO88 Damian",TRUE,188379,188270,109,56422329,56393289,0.999421379240786,0.99948531015088,"cobertura_de_salida_no_exactitud"
"SINCO2019_2021T3",2021,3,"care_industry","Industria de cuidado","SCIAN_p4a","reglas_cuidado","integrated","todas_las_decisiones_aceptadas","medio","Conservar actividad y procedencia",TRUE,188379,188227,152,56422329,56382310,0.9991931160055,0.999290724067771,"cobertura_de_salida_no_exactitud"
"SINCO2019_2021T3",2021,3,"care_w","Clasificacion de cuidado","ocupacion+actividad","reglas_cuidado","integrated","todas_las_decisiones_aceptadas","medio","Usar con variables auxiliares observadas",TRUE,188379,188146,233,56422329,56357455,0.998763131771588,0.998850206980999,"cobertura_de_salida_no_exactitud"
"SINCO2019_2021T3",2021,3,"trabajo_cuidado_mercado","Trabajo de cuidado de mercado","ocupacion+actividad","reglas_cuidado","integrated","todas_las_decisiones_aceptadas","medio","Usar con variables auxiliares observadas",TRUE,188379,188146,233,56422329,56357455,0.998763131771588,0.998850206980999,"cobertura_de_salida_no_exactitud"
"SINCO2019_2021T3",2021,3,"susceptible_teletrabajo","Susceptibilidad de teletrabajo","4d_observado","lista_teletrabajo","integrated","todas_las_decisiones_aceptadas","medio","Solo desde 2012-T3; validar codigos especiales",TRUE,188379,188379,0,56422329,56422329,1,1,"cobertura_de_salida_no_exactitud"
