cmo,aux,old_value,new_value,n,w1,w2,old_official,forward,unique_forward,reverse,unique_reverse,train_n,validation_n,train_forward,validation_forward,train_reverse,validation_reverse,train_unique_forward,validation_unique_forward,train_unique_reverse,validation_unique_reverse,feature,passes,rescata_original,motivo
4151,112,13,13,3,2781,2976,TRUE,1,TRUE,1,TRUE,3,NA,1,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,TRUE,muestra_insuficiente
1250,611,3,10,1,293,297,TRUE,0.09310454401016842,FALSE,1,TRUE,NA,1,NA,0.18614993646759848,NA,1,NA,FALSE,NA,TRUE,p4a3,FALSE,FALSE,muestra_insuficiente
5141,336,2,9,1,348,335,TRUE,0.010070610024308368,FALSE,1,TRUE,NA,1,NA,0.018399069472348525,NA,1,NA,FALSE,NA,TRUE,p4a3,FALSE,FALSE,muestra_insuficiente
1204,931,2,2,1,118,119,TRUE,0.5959595959595959,TRUE,1,TRUE,1,NA,1,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,TRUE,muestra_insuficiente
2121,522,2,5,1,94,119,TRUE,0.1246684350132626,FALSE,1,TRUE,1,NA,0.746031746031746,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,FALSE,muestra_insuficiente
1230,311,2,2,1,94,95,TRUE,1,TRUE,1,TRUE,NA,1,NA,1,NA,1,NA,TRUE,NA,TRUE,p4a3,FALSE,TRUE,muestra_insuficiente
1204,336,2,7,2,210,213,TRUE,0.02502383222116301,FALSE,1,TRUE,1,1,0.01971014492753623,0.0335716506061548,1,1,FALSE,FALSE,TRUE,TRUE,p4a3,FALSE,FALSE,muestra_insuficiente
5170,222,1,2,1,95,96,TRUE,1,TRUE,1,TRUE,NA,1,NA,1,NA,1,NA,TRUE,NA,TRUE,p4a3,FALSE,FALSE,muestra_insuficiente
6121,482,1,2,1,101,102,TRUE,0.7013888888888888,TRUE,0.3493150684931507,FALSE,NA,1,NA,1,NA,0.3493150684931507,NA,TRUE,NA,FALSE,p4a3,FALSE,FALSE,muestra_insuficiente
8310,931,2,2,1,87,88,TRUE,0.5117647058823529,TRUE,1,TRUE,1,NA,1,NA,1,NA,TRUE,NA,TRUE,NA,p4a3,FALSE,TRUE,muestra_insuficiente
