sinco4d,isco88,linea_fuente
6223,6113,273
6224,6112,274
6225,6141,275
6226,6141,276
6227,6142,277
6311,8331,278
6999,6130,279
7101,7111,280
7111,7111,281
7112,7111,282
7113,7112,283
7121,7122,284
7123,7124,285
7131,7133,286
7132,7132,287
7133,7134,288
7134,7136,289
7135,7141,290
7201,7313,291
7211,7313,292
7212,7212,293
7213,7213,294
7214,7214,295
7221,7221,296
7222,7222,297
7223,7313,298
7301,7313,299
7311,7124,300
7312,7422,301
7313,7331,302
7321,7331,303
7322,7345,304
7323,7322,305
7331,7423,306
7332,7423,307
7341,7433,308
7342,7332,309
7343,7436,310
7351,7435,311
7352,7436,312
7353,7442,313
7401,7343,314
7411,7331,315
7412,7346,316
7501,7416,317
7511,7411,318
7512,7411,319
7513,7412,320
7514,7414,321
7515,7412,322
7516,7414,323
7517,7414,324
7611,7321,325
7612,7321,326
7613,7322,327
7614,7331,328
7999,7332,329
8101,8111,330
8111,8333,331
8112,8153,332
8113,8163,333
8114,8333,334
8121,8124,335
8122,8123,336
8123,8211,337
8131,8154,338
8132,8221,339
8133,8232,340
8134,8163,341
8135,8155,342
8141,8290,343
8142,8240,344
8143,8142,345
8144,8252,346
8145,8253,347
8151,8269,348
8152,8262,349
8153,8269,350
8154,8263,351
8155,8264,352
8161,8273,353
8163,8279,354
8171,8278,355
8172,8212,356
8173,8131,357
8181,8161,358
8199,8172,359
8201,8281,360
8211,8284,361
8212,8282,362
8301,3143,363
8311,3143,364
8321,3142,365
8322,3142,366
8324,8311,367
8331,8311,368
8341,8324,369
8342,8322,370
8343,8322,371
8344,8321,372
8349,8321,373
8351,8332,374
8352,8333,375
9111,9211,376
9112,9211,377
9113,9211,378
9121,9212,379
9122,9213,380
9124,9312,381
9211,9311,382
9212,9311,383
9221,9313,384
9222,9312,385
9231,9322,386
9232,9322,387
9233,9322,388
9234,9322,389
9235,9322,390
9236,9322,391
9237,9322,392
9239,9322,393
9311,9331,394
9321,8311,395
9331,9333,396
9332,9332,397
9411,9132,398
9511,9112,399
9512,9112,400
9521,9111,401
9601,9132,402
9611,9131,403
9621,9162,404
9622,9131,405
9623,9132,406
9624,9120,407
9631,9142,408
9632,9142,409
9633,9152,410
9641,9133,411
9642,9133,412
9643,9133,413
9651,9152,414
9661,9161,415
9662,9313,416
9711,9151,417
9712,9322,418
9713,9152,419
9721,4142,420
9722,9151,421
9723,9151,422
9731,9153,423
9732,9153,424
9899,9153,425
9999,9999,426
1129,1239,427
1135,1143,428
1312,1239,429
1313,1223,430
1324,1237,431
1525,110,432
1624,2139,433
1629,1319,434
2131,2442,435
2153,2444,436
2211,2111,437
2221,2211,438
2251,2146,439
2334,2149,440
2421,2149,441
2524,3152,442
2816,3223,443
2817,3241,444
2992,3439,445
3112,4111,446
5231,3143,447
5411,1100,448
6213,7411,449
6222,6141,450
7122,7131,451
7601,7321,452
8162,8279,453
8323,3141,454
8999,8290,455
9131,,456
9312,8312,457
9634,9142,458
9663,9213,459
