sinco3d,sinco4d,cmo_4d,label_cmo,propuesta,sinco4dproxy,sinco3dproxy,sinco_4d1,sinco_4d2,sinco_4d3,sinco3d1,sinco3d2,sinco3d3
131,1311,2128," Directores, gerentes y administradores de área o establecimientos en el sector agropecuario, silvícola y pesquero",auto,,,,,,,,
199,1999,2129,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,auto,,,,,,,,
113,1131,2130,Directivos de partidos políticos,auto,,,,,,,,
113,1133,2131, Directivos de organizaciones empresariales,auto,,,,,,,,
113,1132,2132, Directivos de organizaciones sindicales,auto,,,,,,,,
199,1999,2139,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,auto,,,,,,,,
199,1999,2190,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,auto,,,,,,,,
611,6111,4100, Trabajadores en el cultivo de maíz y/o frijol,auto,,,,,,,,
611,6116,4101, Trabajadores en el cultivo de cereales,auto,,,,,,,,
611,6116,4102, Trabajadores en el cultivo de algodón y/o henequén,auto,,,,,,,,
611,6112,4103, Trabajadores en el cultivo de hortalizas y verduras,auto,,,,,,,,
611,6113,4104, Trabajadores en el cultivo de café y/o cacao,auto,,,,,,,,
611,6113,4105, Trabajadores en el cultivo de tabaco,auto,,,,,,,,
611,6114,4106, Trabajadores en el cultivo de frutales,auto,,,,,,,,
611,6115,4107, Trabajadores en el cultivo de flores,auto,,,,,,,,
611,6116,4108," Trabajadores en otros cultivos agrícolas no mencionados anteriormente (caña, nopal, cártamo, etcétera)",auto,,,,,,,,
612,6121,4110, Trabajadores en la cría de ganado bovino,auto,,,,,,,,
612,6122,4111, Trabajadores en la cría de porcinos,auto,,,,,,,,
612,6123,4112, Trabajadores en la cría avícola,auto,,,,,,,,
612,6124,4113, Trabajadores en la cría de caprinos y ovinos,auto,,,,,,,,
612,6126,4114, Trabajadores en la apicultura,auto,,,,,,,,
612,6125,4115," Trabajadores en la cría de equinos (caballos, burros y mulas)",auto,,,,,,,,
612,6127,4116," Trabajadores en la cría de animales para ornato, espectáculos y laboratorio",auto,,,,,,,,
622,6221,4130," Taladores, trozadores, cortadores de árboles y similares",auto,,,,,,,,
622,6222,4131," Caucheros, chicleros, resineros y similares",auto,,,,,,,,
622,6223,4132, Trabajadores en viveros,auto,,,,,,,,
622,6224,4133," Trabajadores en actividades de plantación, reforestación y conservación de bosques",auto,,,,,,,,
622,6227,4135, Productores de carbón vegetal,auto,,,,,,,,
622,6226,4136," Trabajadores en la recolección de plantas, hierbas y raíces no cultivadas",auto,,,,,,,,
