source_code,source_label,n_destinations_4d,destinations_4d,target_4d_unique,n_destinations_3d,destinations_3d,target_3d_unique,n_destinations_2d,destinations_2d,target_2d_unique,n_destinations_1d,destinations_1d,target_1d_unique,maximum_unambiguous_level,decision_status_4d
1359,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este subgrupo,1,2343,2343,1,234,234,1,23,23,1,2,2,4d,official_unique
1360,Profesores e instructores de educación artística,1,2712,2712,1,271,271,1,27,27,1,2,2,4d,official_unique
1361,Profesores e instructores en estudios comerciales y administrativos,1,2713,2713,1,271,271,1,27,27,1,2,2,4d,official_unique
1362,Profesores e instructores en idiomas extranjeros,1,2714,2714,1,271,271,1,27,27,1,2,2,4d,official_unique
1363,"Profesores, instructores y capacitadores en educación técnica y capacitación aplicables en la producción y servicios",1,2715,2715,1,271,271,1,27,27,1,2,2,4d,official_unique
1364,Profesores e instructores en actividades deportivas,1,2716,2716,1,271,271,1,27,27,1,2,2,4d,official_unique
1390,Otros trabajadores que desempeñan una ocupación afín a las comprendidas en este grupo,2,2339|2391,NA,2,233|239,NA,1,23,23,1,2,2,2d,official_multiple_unresolved
1400,Escritores y críticos,1,2151,2151,1,215,215,1,21,21,1,2,2,4d,official_unique
1401,Periodistas y redactores,2,2152|2153,NA,1,215,215,1,21,21,1,2,2,3d,official_multiple_unresolved
1410,Compositores y arreglistas,1,2171,2171,1,217,217,1,21,21,1,2,2,4d,official_unique
1411,Cantantes,1,2173,2173,1,217,217,1,21,21,1,2,2,4d,official_unique
1412,Músicos,1,2172,2172,1,217,217,1,21,21,1,2,2,4d,official_unique
1413,Actores,1,2175,2175,1,217,217,1,21,21,1,2,2,4d,official_unique
1414,Bailarines,1,2174,2174,1,217,217,1,21,21,1,2,2,4d,official_unique
1420,Pintores y dibujantes artísticos,2,2161|2162,NA,1,216,216,1,21,21,1,2,2,3d,official_multiple_unresolved
1421,Escultores y grabadores,1,2163,2163,1,216,216,1,21,21,1,2,2,4d,official_unique
1422,Coreógrafos y escenógrafos,1,2164,2164,1,216,216,1,21,21,1,2,2,4d,official_unique
1423,Decoradores y diseñadores,4,2541|2542|2543|2544,NA,1,254,254,1,25,25,1,2,2,3d,official_multiple_unresolved
1430,Directores de producciones artísticas,1,1421,1421,1,142,142,1,14,14,1,1,1,4d,official_unique
1431,"Productores y organizadores de actividades artísticas, culturales y deportivas",1,1422,1422,1,142,142,1,14,14,1,1,1,4d,official_unique
1432,"Locutores, conductores y comentaristas de radio y televisión",1,2551,2551,1,255,255,1,25,25,1,2,2,4d,official_unique
1440,Deportistas,1,2561,2561,1,256,256,1,25,25,1,2,2,4d,official_unique
1450,Árbitros y jueces deportivos,1,2563,2563,1,256,256,1,25,25,1,2,2,4d,official_unique
1451,Entrenadores deportivos,1,2562,2562,1,256,256,1,25,25,1,2,2,4d,official_unique
1460,Animadores y anunciadores,1,2552,2552,1,255,255,1,25,25,1,2,2,4d,official_unique
1461,"Magos, payasos, malabaristas, cirqueros y similares en establecimientos",1,2553,2553,1,255,255,1,25,25,1,2,2,4d,official_unique
